,History,Stock,% ofPortfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,CurrentPrice,+/-ReportedPrice,52WeekLow,52WeekHigh,PortfolioName,PortfolioDate,URL
0,≡,LEN - Lennar Corp.,21.13,Add 2.75%,7195302,$116.16,"$835,806,000",,$78.87,-32.10%,$78.54,$117.09,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
1,≡,GS - Goldman Sachs Group,19.59,Add 0.49%,2025165,$382.55,"$774,727,000",,$323.96,-15.32%,$316.77,$421.44,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
2,≡,GM - General Motors,19.49,Add 26.50%,13146934,$58.63,"$770,805,000",,$41.42,-29.35%,$39.75,$67.21,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
3,≡,WHR - Whirlpool Corp.,16.82,Add 2.37%,2834525,$234.66,"$665,150,000",,$172.78,-26.37%,$169.25,$250.76,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
4,≡,TOL - Toll Brothers,9.51,Reduce 0.21%,5192796,$72.39,"$375,907,000",,$47.42,-34.49%,$47.01,$75.43,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
5,≡,C - Citigroup Inc.,6.91,Buy,4527140,$60.39,"$273,394,000",,$51.58,-14.59%,$51.42,$78.50,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
6,≡,DHI - D.R. Horton,2.02,Reduce 3.24%,737285,$108.45,"$79,959,000",,$74.05,-31.72%,$73.64,$110.16,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
7,≡,IP - International Paper,2.0,Buy,1687700,$46.98,"$79,288,000",,$45.78,-2.55%,$40.45,$60.22,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
8,≡,LEN.B - Lennar Corp. CL B,1.09,Reduce 0.39%,451048,$95.62,"$43,129,000",,$66.97,-29.96%,$66.86,$95.98,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
9,≡,LEA - Lear Corp.,0.7,Reduce 0.92%,150810,$182.95,"$27,591,000",,$133.43,-27.07%,$127.21,$202.06,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
10,≡,PSQ - ProShares Short QQQ,0.28,,1005000,$10.83,"$10,884,000",,$11.58,6.93%,$10.63,$13.98,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
11,≡,SH - Proshares Short S&P 500,0.24,,695000,$13.62,"$9,466,000",,$14.11,3.60%,$13.47,$16.39,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
12,≡,SCHW - Charles Schwab Corp.,0.05,Reduce 46.41%,22500,$84.09,"$1,892,000",,$81.86,-2.65%,$62.87,$96.04,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
13,≡,A - Agilent Technologies,0.04,,10700,$159.63,"$1,708,000",,$133.26,-16.52%,$122.87,$178.83,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
14,≡,MDC - M.D.C. Hldgs,0.04,,25000,$55.84,"$1,396,000",,$37.08,-33.60%,$37.05,$61.63,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
15,≡,BRK.B - Berkshire Hathaway CL B,0.02,,2501,$299.08,"$748,000",,$344.80,15.29%,$261.91,$362.10,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
16,≡,JPM - JPMorgan Chase & Co.,0.02,,5000,$158.40,"$792,000",,$133.34,-15.82%,$127.27,$171.93,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
17,≡,MS - Morgan Stanley,0.02,Reduce 96.26%,10000,$98.20,"$982,000",,$85.28,-13.16%,$74.34,$109.73,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
18,≡,MMM - 3M Co.,0.01,,2500,$177.60,"$444,000",,$148.90,-16.16%,$139.74,$202.24,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
19,≡,PKI - PerkinElmer,0.01,Buy,1000,$201.00,"$201,000",,$166.17,-17.33%,$126.59,$203.08,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
20,≡,UNP - Union Pacific,0.01,,2032,$251.97,"$512,000",,$252.11,0.06%,$193.80,$278.94,Greenhaven Associates,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GA
0,≡,LOW - Lowe's Cos.,24.54,,10236471,$258.48,"$2,645,923,000",,$204.87,-20.74%,$181.42,$263.31,Bill Ackman - Pershing Square Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=psc
